,Unnamed: 0_x,fec_candidate_id,short_title_x,first_name_x,last_name_x,party_x,date_of_birth_x,gender_x,state_x,Unnamed: 0_y,short_title_y,first_name_y,last_name_y,party_y,date_of_birth_y,gender_y,state_y,speaker
16,20,H6MI01226,Rep.,Jack,Bergman,R,1947-02-02,M,MI,22,Rep.,Jack,Bergman,R,1947-02-02,M,MI,jack bergman
17,21,H4VA08224,Rep.,Donald,Beyer,D,1950-06-20,M,VA,23,Rep.,Donald,Beyer,D,1950-06-20,M,VA,donald beyer
18,22,H6AZ05083,Rep.,Andy,Biggs,R,1958-11-07,M,AZ,24,Rep.,Andy,Biggs,R,1958-11-07,M,AZ,andy biggs
19,23,H6FL09070,Rep.,Gus,Bilirakis,R,1963-02-08,M,FL,25,Rep.,Gus,Bilirakis,R,1963-02-08,M,FL,gus bilirakis
20,25,H2UT01094,Rep.,Rob,Bishop,R,1951-07-13,M,UT,27,Rep.,Rob,Bishop,R,1951-07-13,M,UT,rob bishop
21,26,H2GA02031,Rep.,Sanford,Bishop,D,1947-02-04,M,GA,28,Rep.,Sanford,Bishop,D,1947-02-04,M,GA,sanford bishop
22,30,H6OR03064,Rep.,Earl,Blumenauer,D,1948-08-16,M,OR,29,Rep.,Earl,Blumenauer,D,1948-08-16,M,OR,earl blumenauer
23,31,H6DE00206,Rep.,Lisa,Blunt Rochester,D,1962-02-10,F,DE,30,Rep.,Lisa,Blunt Rochester,D,1962-02-10,F,DE,lisa blunt rochester
24,32,H2OR01133,Rep.,Suzanne,Bonamici,D,1954-10-14,F,OR,31,Rep.,Suzanne,Bonamici,D,1954-10-14,F,OR,suzanne bonamici
25,34,H4IL12060,Rep.,Mike,Bost,R,1960-12-30,M,IL,32,Rep.,Mike,Bost,R,1960-12-30,M,IL,mike bost
26,35,H4PA13199,Rep.,Brendan,Boyle,D,1977-02-06,M,PA,33,Rep.,Brendan,Boyle,D,1977-02-06,M,PA,brendan boyle
27,36,H6TX08100,Rep.,Kevin,Brady,R,1955-04-11,M,TX,34,Rep.,Kevin,Brady,R,1955-04-11,M,TX,kevin brady
28,40,H2IN05082,Rep.,Susan,Brooks,R,1960-08-25,F,IN,37,Rep.,Susan,Brooks,R,1960-08-25,F,IN,susan brooks
29,41,H0AL05163,Rep.,Mo,Brooks,R,1954-04-29,M,AL,36,Rep.,Mo,Brooks,R,1954-04-29,M,AL,mo brooks
30,42,H6MD04209,Rep.,Anthony,Brown,D,1961-11-21,M,MD,38,Rep.,Anthony,Brown,D,1961-11-21,M,MD,anthony brown
31,43,H2CA00120,Rep.,Julia,Brownley,D,1952-08-28,F,CA,39,Rep.,Julia,Brownley,D,1952-08-28,F,CA,julia brownley
32,44,H6FL13148,Rep.,Vern,Buchanan,R,1951-05-08,M,FL,40,Rep.,Vern,Buchanan,R,1951-05-08,M,FL,vern buchanan
33,45,S0CO00237,Rep.,Ken,Buck,R,1959-02-16,M,CO,41,Rep.,Ken,Buck,R,1959-02-16,M,CO,ken buck
34,46,H0IN08114,Rep.,Larry,Bucshon,R,1962-05-31,M,IN,42,Rep.,Larry,Bucshon,R,1962-05-31,M,IN,larry bucshon
35,47,H6NC13129,Rep.,Ted,Budd,R,1971-10-21,M,NC,43,Rep.,Ted,Budd,R,1971-10-21,M,NC,ted budd
36,48,H2TX26093,Rep.,Michael,Burgess,R,1950-12-23,M,TX,45,Rep.,Michael,Burgess,R,1950-12-23,M,TX,michael burgess
37,49,H2IL17071,Rep.,Cheri,Bustos,D,1961-10-17,F,IL,46,Rep.,Cheri,Bustos,D,1961-10-17,F,IL,cheri bustos
38,50,H4NC01046,Rep.,G.,Butterfield,D,1947-04-27,M,NC,47,Rep.,G.,Butterfield,D,1947-04-27,M,NC,g. butterfield
39,51,H4AL01123,Rep.,Bradley,Byrne,R,1955-02-16,M,AL,48,Rep.,Bradley,Byrne,R,1955-02-16,M,AL,bradley byrne
40,52,H2CA37023,Rep.,Ken,Calvert,R,1953-06-08,M,CA,49,Rep.,Ken,Calvert,R,1953-06-08,M,CA,ken calvert
41,54,H6CA24303,Rep.,Salud,Carbajal,D,1964-11-18,M,CA,50,Rep.,Salud,Carbajal,D,1964-11-18,M,CA,salud carbajal
42,55,H2CA28113,Rep.,Tony,Cárdenas,D,1963-03-31,M,CA,51,Rep.,Tony,Cárdenas,D,1963-03-31,M,CA,tony cárdenas
43,56,H8IN07184,Rep.,André,Carson,D,1974-10-16,M,IN,52,Rep.,André,Carson,D,1974-10-16,M,IN,andré carson
44,57,H2TX31044,Rep.,John,Carter,R,1941-11-06,M,TX,53,Rep.,John,Carter,R,1941-11-06,M,TX,john carter
45,58,H4GA01039,Rep.,Buddy,Carter,R,1957-09-06,M,GA,54,Rep.,Buddy,Carter,R,1957-09-06,M,GA,buddy carter
46,59,H2PA17079,Rep.,Matt,Cartwright,D,1961-05-01,M,PA,55,Rep.,Matt,Cartwright,D,1961-05-01,M,PA,matt cartwright
47,60,H6FL11126,Rep.,Kathy,Castor,D,1966-08-20,F,FL,58,Rep.,Kathy,Castor,D,1966-08-20,F,FL,kathy castor
48,61,H2TX35011,Rep.,Joaquín,Castro,D,1974-09-16,M,TX,59,Rep.,Joaquín,Castro,D,1974-09-16,M,TX,joaquín castro
49,62,H8OH01043,Rep.,Steven,Chabot,R,1953-01-22,M,OH,60,Rep.,Steven,Chabot,R,1953-01-22,M,OH,steven chabot
50,64,H6WY00159,Rep.,Liz,Cheney,R,1966-07-28,F,WY,61,Rep.,Liz,Cheney,R,1966-07-28,F,WY,liz cheney
51,65,H0CA32101,Rep.,Judy,Chu,D,1953-07-07,F,CA,62,Rep.,Judy,Chu,D,1953-07-07,F,CA,judy chu
52,66,H0RI01073,Rep.,David,Cicilline,D,1961-07-15,M,RI,63,Rep.,David,Cicilline,D,1961-07-15,M,RI,david cicilline
53,67,H4MA05084,Rep.,Katherine,Clark,D,1963-07-17,F,MA,65,Rep.,Katherine,Clark,D,1963-07-17,F,MA,katherine clark
54,68,H4NY11138,Rep.,Yvette,Clarke,D,1964-11-21,F,NY,66,Rep.,Yvette,Clarke,D,1964-11-21,F,NY,yvette clarke
55,69,H0MO01066,Rep.,William,Clay,D,1956-07-27,M,MO,67,Rep.,William,Clay,D,1956-07-27,M,MO,william clay
56,70,H4MO05234,Rep.,Emanuel,Cleaver,D,1944-10-26,M,MO,68,Rep.,Emanuel,Cleaver,D,1944-10-26,M,MO,emanuel cleaver
57,72,H2SC02042,Rep.,James,Clyburn,D,1940-07-21,M,SC,71,Rep.,James,Clyburn,D,1940-07-21,M,SC,james clyburn
58,74,H6TN09068,Rep.,Steve,Cohen,D,1949-05-24,M,TN,72,Rep.,Steve,Cohen,D,1949-05-24,M,TN,steve cohen
59,75,H2OK04055,Rep.,Tom,Cole,R,1949-04-28,M,OK,73,Rep.,Tom,Cole,R,1949-04-28,M,OK,tom cole
60,77,H2GA09150,Rep.,Doug,Collins,R,1966-08-16,M,GA,74,Rep.,Doug,Collins,R,1966-08-16,M,GA,doug collins
61,78,H6KY01110,Rep.,James,Comer,R,1972-08-19,M,KY,76,Rep.,James,Comer,R,1972-08-19,M,KY,james comer
62,80,H4TX19136,Rep.,K.,Conaway,R,1948-06-11,M,TX,77,Rep.,K.,Conaway,R,1948-06-11,M,TX,k. conaway
63,81,H8VA11062,Rep.,Gerald,Connolly,D,1950-03-30,M,VA,78,Rep.,Gerald,Connolly,D,1950-03-30,M,VA,gerald connolly
64,84,H2TN05131,Rep.,Jim,Cooper,D,1954-06-19,M,TN,80,Rep.,Jim,Cooper,D,1954-06-19,M,TN,jim cooper
65,85,H6CA46116,Rep.,J.,Correa,D,1958-01-24,M,CA,81,Rep.,J.,Correa,D,1958-01-24,M,CA,j. correa
66,86,H4CA20082,Rep.,Jim,Costa,D,1952-04-13,M,CA,82,Rep.,Jim,Costa,D,1952-04-13,M,CA,jim costa
67,88,H2CT02112,Rep.,Joe,Courtney,D,1953-04-06,M,CT,83,Rep.,Joe,Courtney,D,1953-04-06,M,CT,joe courtney
68,90,H0AR01083,Rep.,Rick,Crawford,R,1966-01-22,M,AR,86,Rep.,Rick,Crawford,R,1966-01-22,M,AR,rick crawford
69,91,H6FL13205,Rep.,Charlie,Crist,D,1956-07-24,M,FL,88,Rep.,Charlie,Crist,D,1956-07-24,M,FL,charlie crist
70,93,H2TX23082,Rep.,Henry,Cuellar,D,1955-09-19,M,TX,90,Rep.,Henry,Cuellar,D,1955-09-19,M,TX,henry cuellar
71,98,H6OH08315,Rep.,Warren,Davidson,R,1970-03-01,M,OH,95,Rep.,Warren,Davidson,R,1970-03-01,M,OH,warren davidson
72,99,H4IL07037,Rep.,Danny,Davis,D,1941-09-06,M,IL,96,Rep.,Danny,Davis,D,1941-09-06,M,IL,danny davis
73,100,H2IL13120,Rep.,Rodney,Davis,R,1970-01-05,M,IL,97,Rep.,Rodney,Davis,R,1970-01-05,M,IL,rodney davis
74,101,H0CA49055,Rep.,Susan,Davis,D,1944-04-13,F,CA,98,Rep.,Susan,Davis,D,1944-04-13,F,CA,susan davis
75,102,H6OR04047,Rep.,Peter,DeFazio,D,1947-05-27,M,OR,100,Rep.,Peter,DeFazio,D,1947-05-27,M,OR,peter defazio
76,103,H6CO01141,Rep.,Diana,DeGette,D,1957-07-29,F,CO,101,Rep.,Diana,DeGette,D,1957-07-29,F,CO,diana degette
77,105,H0CT03072,Rep.,Rosa,DeLauro,D,1943-03-02,F,CT,102,Rep.,Rosa,DeLauro,D,1943-03-02,F,CT,rosa delauro
78,106,H0WA08046,Rep.,Suzan,DelBene,D,1962-02-17,F,WA,103,Rep.,Suzan,DelBene,D,1962-02-17,F,WA,suzan delbene
79,107,H2FL08063,Rep.,Val,Demings,D,1957-03-12,F,FL,105,Rep.,Val,Demings,D,1957-03-12,F,FL,val demings
80,111,H0CA10073,Rep.,Mark,DeSaulnier,D,1952-03-31,M,CA,106,Rep.,Mark,DeSaulnier,D,1952-03-31,M,CA,mark desaulnier
81,112,H0TN04195,Rep.,Scott,DesJarlais,R,1964-02-21,M,TN,107,Rep.,Scott,DesJarlais,R,1964-02-21,M,TN,scott desjarlais
82,113,H0FL19080,Rep.,Ted,Deutch,D,1966-05-07,M,FL,108,Rep.,Ted,Deutch,D,1966-05-07,M,FL,ted deutch
83,114,H2FL25018,Rep.,Mario,Diaz-Balart,R,1961-09-25,M,FL,109,Rep.,Mario,Diaz-Balart,R,1961-09-25,M,FL,mario diaz-balart
84,115,H4MI12079,Rep.,Debbie,Dingell,D,1953-11-23,F,MI,110,Rep.,Debbie,Dingell,D,1953-11-23,F,MI,debbie dingell
85,116,H4TX10028,Rep.,Lloyd,Doggett,D,1946-10-06,M,TX,111,Rep.,Lloyd,Doggett,D,1946-10-06,M,TX,lloyd doggett
86,118,H4PA18131,Rep.,Mike,Doyle,D,1953-08-05,M,PA,112,Rep.,Mike,Doyle,D,1953-08-05,M,PA,mike doyle
87,120,H0SC03077,Rep.,Jeffrey,Duncan,R,1966-01-07,M,SC,114,Rep.,Jeffrey,Duncan,R,1966-01-07,M,SC,jeffrey duncan
88,122,H6FL02208,Rep.,Neal,Dunn,R,1953-02-16,M,FL,115,Rep.,Neal,Dunn,R,1953-02-16,M,FL,neal dunn
89,124,H4MN06087,Rep.,Tom,Emmer,R,1961-03-03,M,MN,116,Rep.,Tom,Emmer,R,1961-03-03,M,MN,tom emmer
90,125,H8NY19058,Rep.,Eliot,Engel,D,1947-02-18,M,NY,117,Rep.,Eliot,Engel,D,1947-02-18,M,NY,eliot engel
91,126,H8CA12098,Rep.,Anna,Eshoo,D,1942-12-13,F,CA,119,Rep.,Anna,Eshoo,D,1942-12-13,F,CA,anna eshoo
92,127,H2NY13096,Rep.,Adriano,Espaillat,D,1954-09-27,M,NY,120,Rep.,Adriano,Espaillat,D,1954-09-27,M,NY,adriano espaillat
93,130,H6PA02171,Rep.,Dwight,Evans,D,1954-05-16,M,PA,122,Rep.,Dwight,Evans,D,1954-05-16,M,PA,dwight evans
94,133,H6GA03113,Rep.,A.,Ferguson,R,1966-11-15,M,GA,123,Rep.,A.,Ferguson,R,1966-11-15,M,GA,a. ferguson
95,134,H6PA08277,Rep.,Brian,Fitzpatrick,R,1973-12-17,M,PA,125,Rep.,Brian,Fitzpatrick,R,1973-12-17,M,PA,brian fitzpatrick
96,135,H0TN03254,Rep.,Chuck,Fleischmann,R,1962-10-11,M,TN,126,Rep.,Chuck,Fleischmann,R,1962-10-11,M,TN,chuck fleischmann
97,136,H0TX17104,Rep.,Bill,Flores,R,1954-02-25,M,TX,128,Rep.,Bill,Flores,R,1954-02-25,M,TX,bill flores
98,137,H4NE01064,Rep.,Jeff,Fortenberry,R,1960-12-27,M,NE,129,Rep.,Jeff,Fortenberry,R,1960-12-27,M,NE,jeff fortenberry
99,138,H8IL14067,Rep.,Bill,Foster,D,1955-10-07,M,IL,130,Rep.,Bill,Foster,D,1955-10-07,M,IL,bill foster
100,139,H4NC05146,Rep.,Virginia,Foxx,R,1943-06-29,F,NC,131,Rep.,Virginia,Foxx,R,1943-06-29,F,NC,virginia foxx
101,140,H2FL14053,Rep.,Lois,Frankel,D,1948-05-16,F,FL,132,Rep.,Lois,Frankel,D,1948-05-16,F,FL,lois frankel
102,143,H8OH11141,Rep.,Marcia,Fudge,D,1952-10-29,F,OH,133,Rep.,Marcia,Fudge,D,1952-10-29,F,OH,marcia fudge
103,144,H2HI02508,Rep.,Tulsi,Gabbard,D,1981-04-12,F,HI,135,Rep.,Tulsi,Gabbard,D,1981-04-12,F,HI,tulsi gabbard
104,145,H6FL01119,Rep.,Matt,Gaetz,R,1982-05-07,M,FL,136,Rep.,Matt,Gaetz,R,1982-05-07,M,FL,matt gaetz
105,146,H6WI08155,Rep.,Mike,Gallagher,R,1984-03-03,M,WI,137,Rep.,Mike,Gallagher,R,1984-03-03,M,WI,mike gallagher
106,147,H4AZ07043,Rep.,Ruben,Gallego,D,1979-11-20,M,AZ,138,Rep.,Ruben,Gallego,D,1979-11-20,M,AZ,ruben gallego
107,148,H0CA10149,Rep.,John,Garamendi,D,1945-01-24,M,CA,139,Rep.,John,Garamendi,D,1945-01-24,M,CA,john garamendi
108,151,H0OH18077,Rep.,Bob,Gibbs,R,1954-06-14,M,OH,144,Rep.,Bob,Gibbs,R,1954-06-14,M,OH,bob gibbs
109,152,H4TX04039,Rep.,Louie,Gohmert,R,1953-08-18,M,TX,145,Rep.,Louie,Gohmert,R,1953-08-18,M,TX,louie gohmert
110,154,H6TX15162,Rep.,Vicente,Gonzalez,D,1967-09-04,M,TX,149,Rep.,Vicente,Gonzalez,D,1967-09-04,M,TX,vicente gonzalez
111,157,H0AZ01259,Rep.,Paul,Gosar,R,1958-11-22,M,AZ,152,Rep.,Paul,Gosar,R,1958-11-22,M,AZ,paul gosar
112,158,H6NJ05171,Rep.,Josh,Gottheimer,D,1975-03-08,M,NJ,153,Rep.,Josh,Gottheimer,D,1975-03-08,M,NJ,josh gottheimer
113,160,H6TX12060,Rep.,Kay,Granger,R,1943-01-18,F,TX,154,Rep.,Kay,Granger,R,1943-01-18,F,TX,kay granger
114,161,H4LA06153,Rep.,Garret,Graves,R,1972-01-31,M,LA,156,Rep.,Garret,Graves,R,1972-01-31,M,LA,garret graves
115,162,H0MO06073,Rep.,Sam,Graves,R,1963-11-07,M,MO,157,Rep.,Sam,Graves,R,1963-11-07,M,MO,sam graves
116,165,H4TX09095,Rep.,Al,Green,D,1947-09-01,M,TX,158,Rep.,Al,Green,D,1947-09-01,M,TX,al green
117,166,H0VA09055,Rep.,Morgan,Griffith,R,1958-03-15,M,VA,160,Rep.,Morgan,Griffith,R,1958-03-15,M,VA,morgan griffith
118,167,H2AZ07070,Rep.,Raúl,Grijalva,D,1948-02-19,M,AZ,161,Rep.,Raúl,Grijalva,D,1948-02-19,M,AZ,raúl grijalva
119,168,H4WI06048,Rep.,Glenn,Grothman,R,1955-07-03,M,WI,162,Rep.,Glenn,Grothman,R,1955-07-03,M,WI,glenn grothman
120,169,H8KY02031,Rep.,Brett,Guthrie,R,1964-02-18,M,KY,164,Rep.,Brett,Guthrie,R,1964-02-18,M,KY,brett guthrie
121,174,H8MD01094,Rep.,Andy,Harris,R,1957-01-25,M,MD,169,Rep.,Andy,Harris,R,1957-01-25,M,MD,andy harris
122,175,H0MO04086,Rep.,Vicky,Hartzler,R,1960-10-13,F,MO,170,Rep.,Vicky,Hartzler,R,1960-10-13,F,MO,vicky hartzler
123,176,H2FL23021,Rep.,Alcee,Hastings,D,1936-09-05,M,FL,171,Rep.,Alcee,Hastings,D,1936-09-05,M,FL,alcee hastings
124,177,H0WA03161,Rep.,Denny,Heck,D,1952-07-29,M,WA,173,Rep.,Denny,Heck,D,1952-07-29,M,WA,denny heck
125,180,H0WA03187,Rep.,Jaime,Herrera Beutler,R,1978-11-03,F,WA,175,Rep.,Jaime,Herrera Beutler,R,1978-11-03,F,WA,jaime herrera beutler
126,181,H0GA07125,Rep.,Jody,Hice,R,1960-04-22,M,GA,176,Rep.,Jody,Hice,R,1960-04-22,M,GA,jody hice
127,182,H4NY27076,Rep.,Brian,Higgins,D,1959-10-06,M,NY,178,Rep.,Brian,Higgins,D,1959-10-06,M,NY,brian higgins
128,183,H6LA03148,Rep.,Clay,Higgins,R,1961-08-24,M,LA,177,Rep.,Clay,Higgins,R,1961-08-24,M,LA,clay higgins
129,184,H4AR02141,Rep.,French,Hill,R,1956-12-05,M,AR,180,Rep.,French,Hill,R,1956-12-05,M,AR,french hill
130,185,H8CT04172,Rep.,Jim,Himes,D,1966-07-05,M,CT,181,Rep.,Jim,Himes,D,1966-07-05,M,CT,jim himes
131,186,H2NC13110,Rep.,George,Holding,R,1968-04-17,M,NC,182,Rep.,George,Holding,R,1968-04-17,M,NC,george holding
132,187,H6IN09176,Rep.,Trey,Hollingsworth,R,1983-09-12,M,IN,183,Rep.,Trey,Hollingsworth,R,1983-09-12,M,IN,trey hollingsworth
133,188,H2MD05155,Rep.,Steny,Hoyer,D,1939-06-14,M,MD,187,Rep.,Steny,Hoyer,D,1939-06-14,M,MD,steny hoyer
134,189,H2NC08185,Rep.,Richard,Hudson,R,1971-11-04,M,NC,188,Rep.,Richard,Hudson,R,1971-11-04,M,NC,richard hudson
135,190,H2CA06259,Rep.,Jared,Huffman,D,1964-02-18,M,CA,189,Rep.,Jared,Huffman,D,1964-02-18,M,CA,jared huffman
136,191,H0MI02094,Rep.,Bill,Huizenga,R,1969-01-31,M,MI,190,Rep.,Bill,Huizenga,R,1969-01-31,M,MI,bill huizenga
137,194,H0TX23086,Rep.,Will,Hurd,R,1977-08-19,M,TX,192,Rep.,Will,Hurd,R,1977-08-19,M,TX,will hurd
138,196,H4TX18054,Rep.,Sheila,Jackson Lee,D,1950-01-12,F,TX,193,Rep.,Sheila,Jackson Lee,D,1950-01-12,F,TX,sheila jackson lee
139,197,H6WA07458,Rep.,Pramila,Jayapal,D,1965-09-21,F,WA,195,Rep.,Pramila,Jayapal,D,1965-09-21,F,WA,pramila jayapal
140,198,H2NY10092,Rep.,Hakeem,Jeffries,D,1970-08-04,M,NY,196,Rep.,Hakeem,Jeffries,D,1970-08-04,M,NY,hakeem jeffries
141,201,H6GA04129,Rep.,Hank,Johnson,D,1954-10-02,M,GA,201,Rep.,Hank,Johnson,D,1954-10-02,M,GA,hank johnson
142,202,H0OH06189,Rep.,Bill,Johnson,R,1954-11-10,M,OH,199,Rep.,Bill,Johnson,R,1954-11-10,M,OH,bill johnson
143,203,H2TX00015,Rep.,Eddie,Johnson,D,1935-12-03,F,TX,200,Rep.,Eddie,Johnson,D,1935-12-03,F,TX,eddie johnson
144,205,H6LA04138,Rep.,Mike,Johnson,R,1972-01-30,M,LA,197,Rep.,Mike,Johnson,R,1972-01-30,M,LA,mike johnson
145,208,H6OH04082,Rep.,Jim,Jordan,R,1964-02-17,M,OH,203,Rep.,Jim,Jordan,R,1964-02-17,M,OH,jim jordan
146,209,H2OH14064,Rep.,Dave,Joyce,R,1957-03-17,M,OH,204,Rep.,Dave,Joyce,R,1957-03-17,M,OH,dave joyce
147,210,H2OH09031,Rep.,Marcy,Kaptur,D,1946-06-17,F,OH,206,Rep.,Marcy,Kaptur,D,1946-06-17,F,OH,marcy kaptur
148,211,H4NY24073,Rep.,John,Katko,R,1962-11-09,M,NY,207,Rep.,John,Katko,R,1962-11-09,M,NY,john katko
149,212,H0MA10082,Rep.,Bill,Keating,D,1952-09-06,M,MA,208,Rep.,Bill,Keating,D,1952-09-06,M,MA,bill keating
150,213,H6MS01131,Rep.,Trent,Kelly,R,1966-03-01,M,MS,212,Rep.,Trent,Kelly,R,1966-03-01,M,MS,trent kelly
151,214,H0PA03271,Rep.,Mike,Kelly,R,1948-05-10,M,PA,211,Rep.,Mike,Kelly,R,1948-05-10,M,PA,mike kelly
152,215,H2IL02172,Rep.,Robin,Kelly,D,1956-04-30,F,IL,210,Rep.,Robin,Kelly,D,1956-04-30,F,IL,robin kelly
153,216,H2MA04073,Rep.,Joseph,Kennedy,D,1980-10-04,M,MA,213,Rep.,Joseph,Kennedy,D,1980-10-04,M,MA,joseph kennedy
154,217,H4CA12055,Rep.,Ro,Khanna,D,1976-09-13,M,CA,214,Rep.,Ro,Khanna,D,1976-09-13,M,CA,ro khanna
155,219,H2MI05119,Rep.,Dan,Kildee,D,1958-08-11,M,MI,215,Rep.,Dan,Kildee,D,1958-08-11,M,MI,dan kildee
156,220,H2WA06129,Rep.,Derek,Kilmer,D,1974-01-01,M,WA,216,Rep.,Derek,Kilmer,D,1974-01-01,M,WA,derek kilmer
157,221,H6WI03099,Rep.,Ron,Kind,D,1963-03-16,M,WI,218,Rep.,Ron,Kind,D,1963-03-16,M,WI,ron kind
158,222,H2NY03089,Rep.,Peter,King,R,1944-04-05,M,NY,219,Rep.,Peter,King,R,1944-04-05,M,NY,peter king
159,223,H2IA05072,Rep.,Steve,King,R,1949-05-28,M,IA,220,Rep.,Steve,King,R,1949-05-28,M,IA,steve king
160,224,H0IL11052,Rep.,Adam,Kinzinger,R,1978-02-27,M,IL,221,Rep.,Adam,Kinzinger,R,1978-02-27,M,IL,adam kinzinger
161,226,H6IL08147,Rep.,Raja,Krishnamoorthi,D,1973-07-19,M,IL,223,Rep.,Raja,Krishnamoorthi,D,1973-07-19,M,IL,raja krishnamoorthi
162,227,H0NH02181,Rep.,Ann,Kuster,D,1956-09-05,F,NH,224,Rep.,Ann,Kuster,D,1956-09-05,F,NH,ann kuster
163,228,H2TN07103,Rep.,David,Kustoff,R,1966-10-08,M,TN,225,Rep.,David,Kustoff,R,1966-10-08,M,TN,david kustoff
164,230,H6IL18088,Rep.,Darin,LaHood,R,1968-07-05,M,IL,226,Rep.,Darin,LaHood,R,1968-07-05,M,IL,darin lahood
165,231,H2CA02142,Rep.,Doug,LaMalfa,R,1960-07-02,M,CA,227,Rep.,Doug,LaMalfa,R,1960-07-02,M,CA,doug lamalfa
166,233,H6CO05159,Rep.,Doug,Lamborn,R,1954-05-24,M,CO,229,Rep.,Doug,Lamborn,R,1954-05-24,M,CO,doug lamborn
167,235,H0RI02139,Rep.,Jim,Langevin,D,1964-04-22,M,RI,230,Rep.,Jim,Langevin,D,1964-04-22,M,RI,jim langevin
168,236,H0WA02080,Rep.,Rick,Larsen,D,1965-06-15,M,WA,231,Rep.,Rick,Larsen,D,1965-06-15,M,WA,rick larsen
169,237,H8CT01046,Rep.,John,Larson,D,1948-07-22,M,CT,232,Rep.,John,Larson,D,1948-07-22,M,CT,john larson
170,238,H8OH05036,Rep.,Robert,Latta,R,1956-04-18,M,OH,233,Rep.,Robert,Latta,R,1956-04-18,M,OH,robert latta
171,239,H2MI14111,Rep.,Brenda,Lawrence,D,1954-10-18,F,MI,234,Rep.,Brenda,Lawrence,D,1954-10-18,F,MI,brenda lawrence
172,240,H0FL02086,Rep.,Al,Lawson,D,1948-09-23,M,FL,235,Rep.,Al,Lawson,D,1948-09-23,M,FL,al lawson
173,241,H8CA09060,Rep.,Barbara,Lee,D,1946-07-16,F,CA,237,Rep.,Barbara,Lee,D,1946-07-16,F,CA,barbara lee
174,246,H4CA33119,Rep.,Ted,Lieu,D,1969-03-29,M,CA,242,Rep.,Ted,Lieu,D,1969-03-29,M,CA,ted lieu
175,247,H4IL03077,Rep.,Daniel,Lipinski,D,1966-07-15,M,IL,243,Rep.,Daniel,Lipinski,D,1966-07-15,M,IL,daniel lipinski
176,249,H6IA02146,Rep.,Dave,Loebsack,D,1952-12-23,M,IA,244,Rep.,Dave,Loebsack,D,1952-12-23,M,IA,dave loebsack
177,250,H4CA16049,Rep.,Zoe,Lofgren,D,1947-12-21,F,CA,245,Rep.,Zoe,Lofgren,D,1947-12-21,F,CA,zoe lofgren
178,251,H0MO07113,Rep.,Billy,Long,R,1955-08-11,M,MO,246,Rep.,Billy,Long,R,1955-08-11,M,MO,billy long
179,252,H4GA11061,Rep.,Barry,Loudermilk,R,1963-12-22,M,GA,247,Rep.,Barry,Loudermilk,R,1963-12-22,M,GA,barry loudermilk
