,fec_candidate_id,speaker,short_title,last_name,first_name,party,date_of_birth,gender,state
0,H4LA05221,ralph abraham,Rep.,Abraham,Ralph,R,1954-09-16,M,LA
1,H4NC12100,alma adams,Rep.,Adams,Alma,D,1946-05-27,F,NC
2,H6AL04098,robert aderholt,Rep.,Aderholt,Robert,R,1965-07-22,M,AL
3,H2CA31125,pete aguilar,Rep.,Aguilar,Pete,D,1979-06-19,M,CA
4,H2GA12121,rick allen,Rep.,Allen,Rick,R,1951-11-07,M,GA
5,H0MI03126,justin amash,Rep.,Amash,Justin,R,1980-04-18,M,MI
6,H2NV02395,mark amodei,Rep.,Amodei,Mark,R,1958-06-12,M,NV
7,H6TX19099,jodey arrington,Rep.,Arrington,Jodey,R,1972-03-09,M,TX
8,H6TX02079,brian babin,Rep.,Babin,Brian,R,1948-03-23,M,TX
9,H6NE02125,don bacon,Rep.,Bacon,Don,R,1963-08-16,M,NE
10,H6IN03229,jim banks,Rep.,Banks,Jim,R,1979-07-16,M,IN
11,H0KY06104,andy barr,Rep.,Barr,Andy,R,1973-07-24,M,KY
12,H6CA44103,nanette barragán,Rep.,Barragán,Nanette,D,1976-09-15,F,CA
13,H0CA33117,karen bass,Rep.,Bass,Karen,D,1953-10-03,F,CA
14,H2OH03125,joyce beatty,Rep.,Beatty,Joyce,D,1950-03-12,F,OH
15,H0CA03078,ami bera,Rep.,Bera,Ami,D,1965-03-02,M,CA
16,H6MI01226,jack bergman,Rep.,Bergman,Jack,R,1947-02-02,M,MI
17,H4VA08224,donald beyer,Rep.,Beyer,Donald,D,1950-06-20,M,VA
18,H6AZ05083,andy biggs,Rep.,Biggs,Andy,R,1958-11-07,M,AZ
19,H6FL09070,gus bilirakis,Rep.,Bilirakis,Gus,R,1963-02-08,M,FL
20,H2UT01094,rob bishop,Rep.,Bishop,Rob,R,1951-07-13,M,UT
21,H2GA02031,sanford bishop,Rep.,Bishop,Sanford,D,1947-02-04,M,GA
22,H6OR03064,earl blumenauer,Rep.,Blumenauer,Earl,D,1948-08-16,M,OR
23,H6DE00206,lisa blunt rochester,Rep.,Blunt Rochester,Lisa,D,1962-02-10,F,DE
24,H2OR01133,suzanne bonamici,Rep.,Bonamici,Suzanne,D,1954-10-14,F,OR
25,H4IL12060,mike bost,Rep.,Bost,Mike,R,1960-12-30,M,IL
26,H4PA13199,brendan boyle,Rep.,Boyle,Brendan,D,1977-02-06,M,PA
27,H6TX08100,kevin brady,Rep.,Brady,Kevin,R,1955-04-11,M,TX
28,H2IN05082,susan brooks,Rep.,Brooks,Susan,R,1960-08-25,F,IN
29,H0AL05163,mo brooks,Rep.,Brooks,Mo,R,1954-04-29,M,AL
30,H6MD04209,anthony brown,Rep.,Brown,Anthony,D,1961-11-21,M,MD
31,H2CA00120,julia brownley,Rep.,Brownley,Julia,D,1952-08-28,F,CA
32,H6FL13148,vern buchanan,Rep.,Buchanan,Vern,R,1951-05-08,M,FL
33,S0CO00237,ken buck,Rep.,Buck,Ken,R,1959-02-16,M,CO
34,H0IN08114,larry bucshon,Rep.,Bucshon,Larry,R,1962-05-31,M,IN
35,H6NC13129,ted budd,Rep.,Budd,Ted,R,1971-10-21,M,NC
36,H2TX26093,michael burgess,Rep.,Burgess,Michael,R,1950-12-23,M,TX
37,H2IL17071,cheri bustos,Rep.,Bustos,Cheri,D,1961-10-17,F,IL
38,H4NC01046,g. butterfield,Rep.,Butterfield,G.,D,1947-04-27,M,NC
39,H4AL01123,bradley byrne,Rep.,Byrne,Bradley,R,1955-02-16,M,AL
40,H2CA37023,ken calvert,Rep.,Calvert,Ken,R,1953-06-08,M,CA
41,H6CA24303,salud carbajal,Rep.,Carbajal,Salud,D,1964-11-18,M,CA
