,fec_candidate_id,short_title,first_name,last_name,party,date_of_birth,gender,state
0,S2TN00058,Sen.,Lamar,Alexander,R,1940-07-03,M,TN
1,S2WI00219,Sen.,Tammy,Baldwin,D,1962-02-11,F,WI
2,S6WY00068,Sen.,John,Barrasso,R,1952-07-21,M,WY
3,S0CO00211,Sen.,Michael,Bennet,D,1964-11-28,M,CO
4,S0CT00177,Sen.,Richard,Blumenthal,D,1946-02-13,M,CT
5,S0MO00183,Sen.,Roy,Blunt,R,1950-01-10,M,MO
6,S4NJ00185,Sen.,Cory,Booker,D,1969-04-27,M,NJ
7,S0AR00150,Sen.,John,Boozman,R,1950-12-10,M,AR
8,S6OH00163,Sen.,Sherrod,Brown,D,1952-11-09,M,OH
9,S4NC00089,Sen.,Richard,Burr,R,1955-11-30,M,NC
10,S8WA00194,Sen.,Maria,Cantwell,D,1958-10-13,F,WA
11,S4WV00159,Sen.,Shelley,Capito,R,1953-11-26,F,WV
12,S6MD03177,Sen.,Benjamin,Cardin,D,1943-10-05,M,MD
13,S8DE00079,Sen.,Thomas,Carper,D,1947-01-23,M,DE
14,S6PA00217,Sen.,Bob,Casey,D,1960-04-13,M,PA
15,S4LA00107,Sen.,Bill,Cassidy,R,1957-09-28,M,LA
17,S6ME00159,Sen.,Susan,Collins,R,1952-12-07,F,ME
18,S0DE00092,Sen.,Christopher,Coons,D,1963-09-09,M,DE
19,S6TN00216,Sen.,Bob,Corker,R,1952-08-24,M,TN
20,S2TX00106,Sen.,John,Cornyn,R,1952-02-02,M,TX
21,S6NV00200,Sen.,Catherine,Cortez Masto,D,1964-03-29,F,NV
22,S4AR00103,Sen.,Tom,Cotton,R,1977-05-13,M,AR
23,S8ID00027,Sen.,Michael,Crapo,R,1951-05-20,M,ID
24,S2TX00312,Sen.,Ted,Cruz,R,1970-12-22,M,TX
25,S2MT00096,Sen.,Steve,Daines,R,1962-08-20,M,MT
26,S2IN00091,Sen.,Joe,Donnelly,D,1955-09-28,M,IN
27,S6IL00292,Sen.,Tammy,Duckworth,D,1968-03-12,F,IL
28,S6IL00151,Sen.,Richard,Durbin,D,1944-11-21,M,IL
29,S6WY00126,Sen.,Michael,Enzi,R,1944-02-01,M,WY
30,S4IA00129,Sen.,Joni,Ernst,R,1970-07-01,F,IA
31,S0CA00199,Sen.,Dianne,Feinstein,D,1933-06-22,F,CA
32,S2NE00094,Sen.,Deb,Fischer,R,1951-03-01,F,NE
33,S2AZ00141,Sen.,Jeff,Flake,R,1962-12-31,M,AZ
35,S4CO00395,Sen.,Cory,Gardner,R,1974-08-22,M,CO
36,S0NY00410,Sen.,Kirsten,Gillibrand,D,1966-12-09,F,NY
37,S0SC00149,Sen.,Lindsey,Graham,R,1955-07-09,M,SC
38,S0IA00028,Sen.,Charles,Grassley,R,1933-09-17,M,IA
39,S6CA00584,Sen.,Kamala,Harris,D,1964-10-20,F,CA
40,S6NH00091,Sen.,Margaret,Hassan,D,1958-02-27,F,NH
41,S6UT00063,Sen.,Orrin,Hatch,R,1934-03-22,M,UT
42,S2NM00088,Sen.,Martin,Heinrich,D,1971-10-17,M,NM
43,S2ND00099,Sen.,Heidi,Heitkamp,D,1955-10-30,F,ND
44,S2NV00183,Sen.,Dean,Heller,R,1960-05-10,M,NV
45,S2HI00106,Sen.,Mazie,Hirono,D,1947-11-03,F,HI
46,S0ND00093,Sen.,John,Hoeven,R,1957-03-13,M,ND
48,S4OK00083,Sen.,James,Inhofe,R,1934-11-17,M,OK
49,S6GA00119,Sen.,Johnny,Isakson,R,1944-12-28,M,GA
50,S0WI00197,Sen.,Ron,Johnson,R,1955-04-08,M,WI
52,S2VA00142,Sen.,Tim,Kaine,D,1958-02-26,M,VA
53,S4LA00065,Sen.,John,Kennedy,R,1951-11-21,M,LA
54,S2ME00109,Sen.,Angus,King,ID,1944-03-31,M,ME
55,S6MN00267,Sen.,Amy,Klobuchar,D,1960-05-25,F,MN
57,S4OK00232,Sen.,James,Lankford,R,1968-03-04,M,OK
58,S4VT00017,Sen.,Patrick,Leahy,D,1940-03-31,M,VT
59,S0UT00165,Sen.,Mike,Lee,R,1971-06-04,M,UT
60,S0WV00090,Sen.,Joe,Manchin,D,1947-08-24,M,WV
61,S4MA00028,Sen.,Edward,Markey,D,1946-07-11,M,MA
63,S6MO00305,Sen.,Claire,McCaskill,D,1953-07-24,F,MO
64,S2KY00012,Sen.,Mitch,McConnell,R,1942-02-20,M,KY
65,S6NJ00289,Sen.,Robert,Menendez,D,1954-01-01,M,NJ
66,S8OR00207,Sen.,Jeff,Merkley,D,1956-10-24,M,OR
67,S0KS00091,Sen.,Jerry,Moran,R,1954-05-29,M,KS
68,S4AK00099,Sen.,Lisa,Murkowski,R,1957-05-22,F,AK
69,S2CT00132,Sen.,Christopher,Murphy,D,1973-08-03,M,CT
70,S2WA00189,Sen.,Patty,Murray,D,1950-10-11,F,WA
71,S8FL00166,Sen.,Bill,Nelson,D,1942-09-29,M,FL
72,S0KY00156,Sen.,Rand,Paul,R,1963-01-07,M,KY
73,S4GA11285,Sen.,David,Perdue,R,1949-12-10,M,GA
74,S4MI00355,Sen.,Gary,Peters,D,1958-12-01,M,MI
75,S0OH00133,Sen.,Rob,Portman,R,1955-12-19,M,OH
76,S6RI00163,Sen.,Jack,Reed,D,1949-11-12,M,RI
77,S8ID00092,Sen.,Jim,Risch,R,1943-05-03,M,ID
78,S6KS00080,Sen.,Pat,Roberts,R,1936-04-20,M,KS
79,S4SD00049,Sen.,Mike,Rounds,R,1954-10-24,M,SD
80,S0FL00338,Sen.,Marco,Rubio,R,1971-05-28,M,FL
81,S4VT00033,Sen.,Bernard,Sanders,ID,1941-09-08,M,VT
82,S4NE00090,Sen.,Ben,Sasse,R,1972-02-22,M,NE
83,S4HI00136,Sen.,Brian,Schatz,D,1972-10-20,M,HI
84,S8NY00082,Sen.,Charles,Schumer,D,1950-11-23,M,NY
85,S4SC00240,Sen.,Tim,Scott,R,1965-09-19,M,SC
87,S0NH00219,Sen.,Jeanne,Shaheen,D,1947-01-28,F,NH
88,S6AL00013,Sen.,Richard,Shelby,R,1934-05-06,M,AL
90,S8MI00281,Sen.,Debbie,Stabenow,D,1950-04-29,F,MI
92,S4AK00214,Sen.,Dan,Sullivan,R,1964-11-13,M,AK
93,S6MT00162,Sen.,Jon,Tester,D,1956-08-21,M,MT
94,S2SD00068,Sen.,John,Thune,R,1961-01-07,M,SD
95,S4NC00162,Sen.,Thom,Tillis,R,1960-08-30,M,NC
96,S4PA00121,Sen.,Patrick,Toomey,R,1961-11-17,M,PA
97,S8NM00184,Sen.,Tom,Udall,D,1948-05-18,M,NM
98,S6MD03441,Sen.,Chris,Van Hollen,D,1959-01-10,M,MD
99,S6VA00093,Sen.,Mark,Warner,D,1954-12-15,M,VA
100,S2MA00170,Sen.,Elizabeth,Warren,D,1949-06-22,F,MA
101,S6RI00221,Sen.,Sheldon,Whitehouse,D,1955-10-20,M,RI
102,S8MS00196,Sen.,Roger,Wicker,R,1951-07-05,M,MS
103,S6OR00110,Sen.,Ron,Wyden,D,1949-05-03,M,OR
104,S6IN00191,Sen.,Todd,Young,R,1972-08-24,M,IN
