,fec_candidate_id,short_title,first_name,last_name,party,date_of_birth,gender,state
0,S2TN00058,Sen.,Lamar,Alexander,R,1940-07-03,M,TN
1,H8WI00018,Sen.,Tammy,Baldwin,D,1962-02-11,F,WI
2,S6WY00068,Sen.,John,Barrasso,R,1952-07-21,M,WY
3,S0CO00211,Sen.,Michael,Bennet,D,1964-11-28,M,CO
4,H2TN06030,Sen.,Marsha,Blackburn,R,1952-06-06,F,TN
5,S0CT00177,Sen.,Richard,Blumenthal,D,1946-02-13,M,CT
6,H6MO07128,Sen.,Roy,Blunt,R,1950-01-10,M,MO
7,S4NJ00185,Sen.,Cory,Booker,D,1969-04-27,M,NJ
8,H2AR03176,Sen.,John,Boozman,R,1950-12-10,M,AR
9,S8IN00171,Sen.,Mike,Braun,R,1954-03-24,M,IN
10,H2OH13033,Sen.,Sherrod,Brown,D,1952-11-09,M,OH
11,S4NC00089,Sen.,Richard,Burr,R,1955-11-30,M,NC
12,S8WA00194,Sen.,Maria,Cantwell,D,1958-10-13,F,WA
13,H0WV02138,Sen.,Shelley,Capito,R,1953-11-26,F,WV
14,H6MD03177,Sen.,Benjamin,Cardin,D,1943-10-05,M,MD
15,S8DE00079,Sen.,Thomas,Carper,D,1947-01-23,M,DE
16,S6PA00217,Sen.,Bob,Casey,D,1960-04-13,M,PA
17,H8LA00017,Sen.,Bill,Cassidy,R,1957-09-28,M,LA
18,S6ME00159,Sen.,Susan,Collins,R,1952-12-07,F,ME
19,S0DE00092,Sen.,Christopher,Coons,D,1963-09-09,M,DE
20,S2TX00106,Sen.,John,Cornyn,R,1952-02-02,M,TX
21,S6NV00200,Sen.,Catherine,Cortez Masto,D,1964-03-29,F,NV
22,H2AR04083,Sen.,Tom,Cotton,R,1977-05-13,M,AR
23,H0ND01026,Sen.,Kevin,Cramer,R,1961-01-21,M,ND
24,S8ID00027,Sen.,Michael,Crapo,R,1951-05-20,M,ID
25,S2TX00312,Sen.,Ted,Cruz,R,1970-12-22,M,TX
26,S2MT00096,Sen.,Steve,Daines,R,1962-08-20,M,MT
27,H6IL06141,Sen.,Tammy,Duckworth,D,1968-03-12,F,IL
28,S6IL00151,Sen.,Richard,Durbin,D,1944-11-21,M,IL
29,S6WY00126,Sen.,Michael,Enzi,R,1944-02-01,M,WY
30,S4IA00129,Sen.,Joni,Ernst,R,1970-07-01,F,IA
