,fec_candidate_id,short_title,first_name,last_name,party,date_of_birth,gender,state
0,H4LA05221,Rep.,Ralph,Abraham,R,1954-09-16,M,LA
1,H4NC12100,Rep.,Alma,Adams,D,1946-05-27,F,NC
2,H6AL04098,Rep.,Robert,Aderholt,R,1965-07-22,M,AL
3,H2CA31125,Rep.,Pete,Aguilar,D,1979-06-19,M,CA
4,H2GA12121,Rep.,Rick,Allen,R,1951-11-07,M,GA
5,H8TX32098,Rep.,Colin,Allred,D,1983-04-15,M,TX
6,H0MI03126,Rep.,Justin,Amash,R,1980-04-18,M,MI
8,H2NV02395,Rep.,Mark,Amodei,R,1958-06-12,M,NV
9,H8ND00096,Rep.,Kelly,Armstrong,R,1976-10-08,M,ND
10,H6TX19099,Rep.,Jodey,Arrington,R,1972-03-09,M,TX
11,H8IA03124,Rep.,Cynthia,Axne,D,1965-04-20,F,IA
12,H6TX02079,Rep.,Brian,Babin,R,1948-03-23,M,TX
13,H6NE02125,Rep.,Don,Bacon,R,1963-08-16,M,NE
14,H8IN04199,Rep.,James,Baird,R,1945-06-04,M,IN
15,H8OH12180,Rep.,Troy,Balderson,R,1962-01-16,M,OH
16,H6IN03229,Rep.,Jim,Banks,R,1979-07-16,M,IN
17,H0KY06104,Rep.,Andy,Barr,R,1973-07-24,M,KY
18,H6CA44103,Rep.,Nanette,Barragán,D,1976-09-15,F,CA
19,H0CA33117,Rep.,Karen,Bass,D,1953-10-03,F,CA
20,H2OH03125,Rep.,Joyce,Beatty,D,1950-03-12,F,OH
21,H0CA03078,Rep.,Ami,Bera,D,1965-03-02,M,CA
22,H6MI01226,Rep.,Jack,Bergman,R,1947-02-02,M,MI
23,H4VA08224,Rep.,Donald,Beyer,D,1950-06-20,M,VA
24,H6AZ05083,Rep.,Andy,Biggs,R,1958-11-07,M,AZ
25,H6FL09070,Rep.,Gus,Bilirakis,R,1963-02-08,M,FL
26,H0NC09187,Rep.,Dan,Bishop,R,1964-07-01,M,NC
27,H2UT01094,Rep.,Rob,Bishop,R,1951-07-13,M,UT
28,H2GA02031,Rep.,Sanford,Bishop,D,1947-02-04,M,GA
29,H6OR03064,Rep.,Earl,Blumenauer,D,1948-08-16,M,OR
30,H6DE00206,Rep.,Lisa,Blunt Rochester,D,1962-02-10,F,DE
31,H2OR01133,Rep.,Suzanne,Bonamici,D,1954-10-14,F,OR
32,H4IL12060,Rep.,Mike,Bost,R,1960-12-30,M,IL
33,H4PA13199,Rep.,Brendan,Boyle,D,1977-02-06,M,PA
34,H6TX08100,Rep.,Kevin,Brady,R,1955-04-11,M,TX
35,H8NY22151,Rep.,Anthony,Brindisi,D,1978-11-22,M,NY
36,H0AL05163,Rep.,Mo,Brooks,R,1954-04-29,M,AL
37,H2IN05082,Rep.,Susan,Brooks,R,1960-08-25,F,IN
38,H6MD04209,Rep.,Anthony,Brown,D,1961-11-21,M,MD
39,H2CA00120,Rep.,Julia,Brownley,D,1952-08-28,F,CA
40,H6FL13148,Rep.,Vern,Buchanan,R,1951-05-08,M,FL
41,S0CO00237,Rep.,Ken,Buck,R,1959-02-16,M,CO
42,H0IN08114,Rep.,Larry,Bucshon,R,1962-05-31,M,IN
43,H6NC13129,Rep.,Ted,Budd,R,1971-10-21,M,NC
44,H8TN02119,Rep.,Tim,Burchett,R,1964-08-25,M,TN
45,H2TX26093,Rep.,Michael,Burgess,R,1950-12-23,M,TX
46,H2IL17071,Rep.,Cheri,Bustos,D,1961-10-17,F,IL
47,H4NC01046,Rep.,G.,Butterfield,D,1947-04-27,M,NC
48,H4AL01123,Rep.,Bradley,Byrne,R,1955-02-16,M,AL
49,H2CA37023,Rep.,Ken,Calvert,R,1953-06-08,M,CA
50,H6CA24303,Rep.,Salud,Carbajal,D,1964-11-18,M,CA
51,H2CA28113,Rep.,Tony,Cárdenas,D,1963-03-31,M,CA
52,H8IN07184,Rep.,André,Carson,D,1974-10-16,M,IN
53,H2TX31044,Rep.,John,Carter,R,1941-11-06,M,TX
54,H4GA01039,Rep.,Buddy,Carter,R,1957-09-06,M,GA
55,H2PA17079,Rep.,Matt,Cartwright,D,1961-05-01,M,PA
56,H2HI02128,Rep.,Ed,Case,D,1952-09-27,M,HI
57,H8IL06139,Rep.,Sean,Casten,D,1971-11-23,M,IL
58,H6FL11126,Rep.,Kathy,Castor,D,1966-08-20,F,FL
59,H2TX35011,Rep.,Joaquín,Castro,D,1974-09-16,M,TX
60,H8OH01043,Rep.,Steven,Chabot,R,1953-01-22,M,OH
61,H6WY00159,Rep.,Liz,Cheney,R,1966-07-28,F,WY
62,H0CA32101,Rep.,Judy,Chu,D,1953-07-07,F,CA
63,H0RI01073,Rep.,David,Cicilline,D,1961-07-15,M,RI
64,H8CA39174,Rep.,Gilbert,Cisneros,D,1971-02-12,M,CA
65,H4MA05084,Rep.,Katherine,Clark,D,1963-07-17,F,MA
66,H4NY11138,Rep.,Yvette,Clarke,D,1964-11-21,F,NY
67,H0MO01066,Rep.,William,Clay,D,1956-07-27,M,MO
68,H4MO05234,Rep.,Emanuel,Cleaver,D,1944-10-26,M,MO
69,H8VA06104,Rep.,Ben,Cline,R,1972-02-29,M,VA
70,H8TX27049,Rep.,Michael,Cloud,R,1975-05-13,M,TX
71,H2SC02042,Rep.,James,Clyburn,D,1940-07-21,M,SC
72,H6TN09068,Rep.,Steve,Cohen,D,1949-05-24,M,TN
73,H2OK04055,Rep.,Tom,Cole,R,1949-04-28,M,OK
74,H2GA09150,Rep.,Doug,Collins,R,1966-08-16,M,GA
76,H6KY01110,Rep.,James,Comer,R,1972-08-19,M,KY
77,H4TX19136,Rep.,K.,Conaway,R,1948-06-11,M,TX
78,H8VA11062,Rep.,Gerald,Connolly,D,1950-03-30,M,VA
80,H2TN05131,Rep.,Jim,Cooper,D,1954-06-19,M,TN
81,H6CA46116,Rep.,J.,Correa,D,1958-01-24,M,CA
82,H4CA20082,Rep.,Jim,Costa,D,1952-04-13,M,CA
83,H2CT02112,Rep.,Joe,Courtney,D,1953-04-06,M,CT
